country,description,points,price,province,taster_name,title,variety,winery,year
Italy,"Intense and elegant, it brings together sensations of violet, crushed red berry, mineral and cake spices that are supported by firm but fine tannins and brisk acidity. Fermented with wild yeasts, it illustrates the vibrant character of the vintage. Drink 2018–2040. Acid Inc Selections, Stefano Miretti Imports.",94,46,Piedmont,Kerin O’Keefe,Brezza 2010  Barolo,Nebbiolo,Brezza,2010
Italy,"Bold and savory, it delivers black cherry, violet, and baking spice aromas with a whiff of espresso. The palate is still a bit austere, but offers up juicy black cherry, raspberry, sage and licorice alongside solid, assertive tannins. Don't even attempt this before 2020, but it will blossom into a beauty.",94,80,Piedmont,Kerin O’Keefe,Paolo Scavino 2010 Carobric  (Barolo),Nebbiolo,Paolo Scavino,2010
Italy,"Structured and powerful, it features aromas of underbrush, leather, spice, plum cake and subtle oak. The concentrated palate delivers juicy black cherry and red raspberry accented with notes of espresso alongside tightly packed tannins and fresh acidity. Give it time to unwind. Drink after 2020.",94,64,Piedmont,Kerin O’Keefe,Pio Cesare 2010  Barolo,Nebbiolo,Pio Cesare,2010
Italy,"Aromas of wild cherry, leather and truffle are quintessential Barolo. On the palate, rich black cherry, raspberry, vanilla, cocoa, balsamic herbs, sage and black pepper all come together supported by brooding tannins and brisk acidity. Best after 2020.",94,75,Piedmont,Kerin O’Keefe,Rivetto 2010 del Comune di Serralunga d'Alba  (Barolo),Nebbiolo,Rivetto,2010
Italy,"Aromas of blackberry, violet and a whiff of dark spice lead the nose while the juicy palate serves up raspberry, black cherry, clove and white pepper. It's fresh and lively, with firm but approachable tannins.",89,18,Northeastern Italy,Kerin O’Keefe,Castelfeder 2013 Rieder Lagrein (Alto Adige),Lagrein,Castelfeder,2013
United States of America,"Fruit comes from three places for this wine, Bennett Valley, Alexander Valley and Knights Valley, exhibiting some good blending skill in the cellar. Red currant, clove, cedar and pencil all appear around a full-bodied, leathery texture and dots of black pepper and sage.",89,28,California,Virginie Boone,Matanzas Creek 2012 Merlot (Sonoma County),Merlot,Matanzas Creek,2012
Austria,"Only very slight citrus notes appear on the nose. The palate opens into soft fruitiness with slight hints of apricot and peach. The chief attraction, though, is a central, vivid theme of white pepper. This is light bodied but full of subtle charms.",89,10,Niederösterreich,Anne Krebiehl MW,Nastl 2015 Klassik Grüner Veltliner (Niederösterreich),Grüner Veltliner,Nastl,2015
Austria,"Hints of white blossom mix with faint notes of pear to create a delicately balanced, fresh and spring-like wine that is as light as gossamer. This has verve and freshness, tender, blossomy aromatics and immense charm. Drink as soon as possible while its elderflower notes shimmer lastingly.",89,25,Niederösterreich,Anne Krebiehl MW,Nigl 2015 Gelber Muskateller (Niederösterreich),Gelber Muskateller,Nigl,2015
United States of America,"The producer travels to Stagecoach Vineyard on Atlas Peak to source 55% Cabernet Sauvignon, 38% Syrah and 7% Malbec, making for a softly layered wine with plenty of structure. Crisp red currant and plum dance around savory specks of cedar and toasty oak.",89,70,California,Virginie Boone,Patland 2012 Proprietary Red (Napa Valley),Red Blend,Patland,2012
Spain,"Wiry cherry and herb aromas are fresh and reedy. This Rioja feels crisp and mildly astringent. Quick, punchy flavors of plum and wild berry fruits turn more oaky prior to a finish that's fresh and forward, with hard tannins. Drink through 2021.",89,20,Northern Spain,Michael Schachner,Proelio 2012 Crianza  (Rioja),Tempranillo,Proelio,2012
New Zealand,"At this early stage, the oak is still prominent. Mocha and brown sugar mark the nose, the palate offers dark-roasted coffee bean notes and the finish seems rather dry and astringent. But dig deeper, and a core of cherry fruit comes into focus, fully ripened to silky tannins and just needing time to emerge. Drink 2018–2025.",89,45,Central Otago,Joe Czerwinski,Quartz Reef 2013 Bendigo Single Vineyard Pinot Noir (Central Otago),Pinot Noir,Quartz Reef,2013
United States of America,"Yellow grapefruit pith, white Asian pear flesh, cherimoya and crisp stonefruit elements show on the nose of this bottling, which also offers the typical touch of petrol. The palate is very pithy and high-toned, showing lemon rind, sour orange and sour apple on the finish.",89,14,California,Matt Kettmann,Jekel 2014 Riesling (Monterey),Riesling,Jekel,2014
Spain,"Gritty, lightly stalky aromas of herbal blackberry smell a bit roasted and/or burnt. This is medium-full in body, with drying tannins. Roasted, tarry plum and berry flavors finish with peppery spice and heat.",89,25,Northern Spain,Michael Schachner,Trus 2012 Crianza  (Ribera del Duero),Tinta Fina,Trus,2012
Austria,"Peppery iron-oxide notes dance alongside notions of blueberry and cherry. The colour is dark but the fruit is crunchy and fresh. There is drive and vividness at the core of this rustic, appetizing red. Tannins are present and give a pleasant but light grip. Fresh acidity provides even more focus. With food this will shine. Drink soon to enjoy its vividness.",89,14,Burgenland,Anne Krebiehl MW,Gunter Triebaumer 2014 Trie Rot Red (Burgenland),Red Blend,Gunter Triebaumer,2014
United States of America,"Dried blueberry fruit, asphalt, black plums and chocolate sauce aromas show on the nose of this appellation blend by the Rhône specialist. Tart black fruit, tar, fudge and fresh purple flowers show on the palate, an always reliable intro to the popular Central Coast grape.",89,29,California,Matt Kettmann,Jaffurs 2013 Syrah (Santa Barbara County),Syrah,Jaffurs,2013
Italy,"Aromas of violet, dark-skinned berry and baking spice are the highlights. On the bright, juicy palate, soft velvety tannins frame mature black cherry, blackberry and a hint of cocoa.",89,20,Northeastern Italy,Kerin O’Keefe,Tiefenbrunner 2013 Turmhof Lagrein (Alto Adige),Lagrein,Tiefenbrunner,2013
France,"This organic wine, produced with a natural and biodynamic approach, is an interesting blend of 30% Syrah, 20% Grenache, 10% Mourvèdre, 10% Cabernet Sauvignon, 10% Merlot, 10% Malbec and 10% Marselan. It offers pronounced earthy characteristics, as well as a citrusy kick (like tangerine oil) to the blueberry and blackberry fruit core. The mouthfeel is creamy and velvety, with plush tannins and lingering baking-spice flavors.",89,25,France Other,Lauren Buzzeo,Gérard Bertrand 2014 Kosmos Organic Grapes Red (Vin de France),Red Blend,Gérard Bertrand,2014
United States of America,"Nearly equal parts Merlot and Cabernet Franc, this dusty red also makes use of 26% Syrah, 3% Cabernet Sauvignon and 3% unidentified as other. A straightforward wine, it's juicy in blackberry and chalky chocolate.",89,22,California,Virginie Boone,Gibbs 2012 Crossed Paths Dusty Red (Napa Valley),Red Blend,Gibbs,2012
Italy,"A blend of Merlot, Cabernet Sauvignon, Cabernet Franc and Petit Verdot, this opens with aromas of bluish-black fruit, exotic spice and a balsamic note. The firmly structured palate doles out blackberry, spiced blueberry, coffee and black pepper accompanied by assertive but fine-grained tannins.",89,28,Central Italy,Kerin O’Keefe,Le Senate 2012 Cacinello Red (Marche),Red Blend,Le Senate,2012
France,"This is a medium-bodied, spicy rendering of Syrah. Cherries, herbs and spice all mingle easily, while the silky texture is its calling card. Drink now–2023.",89,20,France Other,Joe Czerwinski,Michel & Stéphane Ogier 2012 d'Ogier Syrah (Vin de France),Syrah,Michel & Stéphane Ogier,2012
United States of America,"A very interesting wine, this is reserved but complex, not overtly fruity or buttery, but more intriguing than that. It smells lightly like lemon zest and hazelnuts, and tastes quietly concentrated, like peach skin and almonds.",89,24,California,Jim Gordon,Apriori 2014 Chardonnay (Mendocino),Chardonnay,Apriori,2014
France,"Grown inland, away from the sea's influence, this wine has a full-bodied character. Acidity cuts through the ripe red fruits and caramel and spice flavor. The wine is rich and full in the mouth, soft at the end.",89,19,Provence,Roger Voss,Bernard Magrez 2015 Les Muraires Douce Vie Rosé (Côtes de Provence),Rosé,Bernard Magrez,2015
United States of America,"From a winery located below Bernal Heights in San Francisco, this wine offers rich aromas of thick, chewy Meyer lemon pith, lightly toasted sourdough bread, toasted almonds, struck match and the slightest hint of browned butter. The palate is intriguingly tart, oily in texture and quite powerful, with cooked lemon rinds, lemon creme brûlée and marcona almond oil flavors.",89,28,California,Matt Kettmann,Betwixt 2014 Chardonnay (Santa Cruz Mountains),Chardonnay,Betwixt,2014
United States of America,"A saline edge offsets crisp yellow peach and starfruit flavors in this zesty dry Riesling. It's spry and fruity, yet elegant, finishing with surprising persistence.",89,16,New York,Anna Lee C. Iijima,Billsboro 2014 Sawmill Creek Vineyards Dry Riesling (Finger Lakes),Riesling,Billsboro,2014
New Zealand,"Made in a frankly commercial, off-dry style, this is dangerously quaffable. Pronounced apple, pear and melon flavors are balanced by moderate acidity and a hint of ginger on the finish. Drink now.",89,14,Marlborough,Joe Czerwinski,Brancott 2015 Pinot Grigio (Marlborough),Pinot Grigio,Brancott,2015
Austria,"Vivid pepper and rounded red plum notes are joined by hints of cinnamon—reminiscent of freshly baked plum tart. This is a soft, pliable but very full-fruited wine. Lovers of Pinot should definitely try St. Laurent—here it is in a very approacheble and supercharming, medium-bodied red.",89,13,Niederösterreich,Anne Krebiehl MW,The Dot 2014 Austrian Plum St. Laurent (Niederösterreich),St. Laurent,The Dot,2014
Spain,"Apple and melon aromas are clean, stony and direct. This feels juicy while also offering ample body weight. Tangerine and nectarine flavors finish long, minerally and ripe, with none of Albariño's common pithy bitterness.",89,15,Galicia,Michael Schachner,Ramón Bilbao 2015 Albariño (Rías Baixas),Albariño,Ramón Bilbao,2015
Spain,"Stewy berry and melted chocolate aromas are ultra oaky and creamy. A tannic, heavy mouthfeel and borderline overripe flavors of prune, chocolate and tobacco finish raisiny and baked. Drink through 2020.",89,30,Northern Spain,Michael Schachner,Salcis 2010 Crianza  (Ribera del Duero),Tempranillo,Salcis,2010
United States of America,"A single vineyard expression from this winery's newish vineyard, this shows pressed purple flowers, deep blueberries and a touch of tar on the nose. The flavors are dense, dark and framed by strong tannins, with elderberry, pencil lead and deep lilac syrup gaining intrigue from white sage, white pepper and raw beef tones.",89,35,California,Matt Kettmann,San Simeon 2012 St. Eva Hill Vineyard Petite Sirah (Paso Robles),Petite Sirah,San Simeon,2012
Argentina,"Strapping currant and berry aromas come with a full dosage of toasty oak. This Malbec feels sinewy, with good depth. Oaky notes of toast and blackened spice lend a chocolaty essence to berry and plum flavors, while this finishes with an herbal, spicy aftertaste.",89,20,Mendoza Province,Michael Schachner,Terrazas de Los Andes 2013 Reserva Malbec (Mendoza),Malbec,Terrazas de Los Andes,2013
United States of America,"Lots of fresh apple flavors, a crisp balance and smooth mouthfeel make this light-bodied wine refreshing and fun to drink. It has some richness on the midpalate and finish, but basically keeps its lively, tangy personality going.",89,17,California,Jim Gordon,Avant 2014 Fresh Crisp Clean Chardonnay (California),Chardonnay,Avant,2014
United States of America,"Sharp aromas of peach blossoms, honeyed nuts and lemon balm make for a fruity yet biting nose on this blend of 58% Grenache Blanc from Happy Canyon and 42% Viognier from San Luis Obispo County. Ripened stonefruit flavors are cut with a sizzle of acidity and warmth of sea salt and candied Meyer lemon on the palate.",89,24,California,Matt Kettmann,Barton 2014 The River White (Central Coast),Rhône-style White Blend,Barton,2014
United States of America,"A clear, light-bodied wine that's slightly reduced on the nose, this Spring Mountain site provides a tightness of black tea and cherry cola, with a leanness that's hard to miss. Leather, currant and baked bread add additional complexity and intrigue.",89,55,California,Virginie Boone,Brick & Mortar 2013 La Perla Vineyard Pinot Noir (Spring Mountain District),Pinot Noir,Brick & Mortar,2013
United States of America,"A 100% varietal wine entirely from Yountville, this presents a touch of herb and cedar on the entry aromatically, followed by a thickness of tannin that softens in the glass. Big-boned, it finishes strong in tobacco and coffee.",89,45,California,Virginie Boone,One 2011 Cabernet Sauvignon (Yountville),Cabernet Sauvignon,One,2011
United States of America,"Simultaneously light yet earthy, this shows cherry pie, concentrated pomegranate, whole nutmeg, buttery crust and intriguing brown spices on the nose. There is a bit less action on the palate, but still plenty of tart cherries, tobacco and brown spice elements.",89,45,California,Matt Kettmann,Pace 2013 Sebastiano Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Pace,2013
United States of America,"Blueberry, grapeseed, leather, cigar box and concentrated lavender combine for an elegantly intriguing nose on this bottling from a winery between Morgan Hill and Gilroy. The palate is fresh and rather light, with plums, figs, crushed peppercorns and a forest floor/pine needle intrigue.",89,24,California,Matt Kettmann,Jason-Stephens 2010 Estate Merlot (Santa Clara Valley),Merlot,Jason-Stephens,2010
United States of America,"Fresh and tempting, this has a hot-pink color and flavors like watermelon and cherry. With medium body and even a light touch of tannin, it's more meaty than many rosés, so you can serve it with the meal as well as for an apéritif.",89,25,California,Jim Gordon,Las Positas 2014 Estate Rosé (Livermore Valley),Rosé,Las Positas,2014
United States of America,"Sanguine in cedar, pencil lead and tea, this wine's elegant opening gives way to ripe black fruit and thick, burly tannins. The finish is marked in vanilla oak and a taste of cigar.",89,65,California,Virginie Boone,In Re 2010 You be the judge! Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,In Re,2010
New Zealand,"This is a bold, assertive Sauvignon Blanc, boasting bright citrus aromas and flavors, lifted by just a sprinkling of cut grass. A bit of creaminess adds dimension on the palate, which then finishes on a burst of lime and grapefruit.",89,19,Marlborough,Joe Czerwinski,Waipara Hills 2014 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Waipara Hills,2014
United States of America,"Lightly smoked stone fruit and apple blossoms greet the nose on this bottling of 50% Marsanne and 50% Grenache Blanc. The palate is much more interesting, with lemon sorbet and ripe apples clinging to a steely centerline that shows flashes of flint and gunmetal.",89,28,California,Matt Kettmann,Two Moons 2013 Aporia White (Paso Robles),Rhône-style White Blend,Two Moons,2013
Italy,"Aromas of ripe berry, Mediterranean herb, menthol and eucalyptus lead the nose. The medium-bodied palate is already somewhat evolved offering blackberry extract, mature black cherry, licorice, spice and espresso alongside polished tannins. It closes on a note of bitter walnut.",89,27,Sicily & Sardinia,Kerin O’Keefe,Valle dell'Acate 2012  Cerasuolo di Vittoria Classico,Red Blend,Valle dell'Acate,2012
United States of America,"This long-aged blend of 67% Syrah and 33% Petite Sirah is plump on the oaky nose with condensed rose petal, chocolate cake and violet aromas. The palate starts with ripe black cherries but then settles into an asphalt-laden midpalate, finishing with chocolate-chip cookies and a graphite tension.",89,25,California,Matt Kettmann,Volatus 2008 Reserve Red (Paso Robles),Red Blend,Volatus,2008
United States of America,"Playful and nearly effervescent on the nose with lemon-lime soda notes and a sparkling pear-cider character, this bottling also shows aromas of pink grapefruit and pink lemonade sorbet. Tart lime and lemon verbena pop on the palate as does melon pith, with a slight herbal character on the finish.",89,20,California,Matt Kettmann,Zocker 2014 Paragon Vineyard Grüner Veltliner (Edna Valley),Grüner Veltliner,Zocker,2014
Austria,"There is a high-toned aspect to the otherwise neutral nose that just gives away lemony hints. The palate is sprightly and fresh and reveals a very creamy, fruity, almost tropical core which is cut very pleasantly by fresh, aromatic lemon—this is Chardonnay but not as you know it. A very fruity, rich but fresh number.",89,21,Burgenland,Anne Krebiehl MW,Hannes Reeh 2014 Rohstoff Chardonnay (Burgenland),Chardonnay,Hannes Reeh,2014
United States of America,"This wine could be labeled a Cabernet Sauvignon, which makes up 83% of the blend, with the rest Merlot. The aromas of fruit leather, dried blackberry, black licorice and medicine cabinet are bright, though they seem considerably more evolved than the wine's age might indicate. The black-fruit flavors display a sense of balance that carries through the finish. Drink now.",89,55,Washington,Sean P. Sullivan,Hightower 2012 Reserve Red (Red Mountain),Bordeaux-style Red Blend,Hightower,2012
United States of America,"Already six years old, this wine offers aromas of black licorice, dried cherry, vanilla, clove and abundant wood spices. The flavors of black fruit, licorice and barrel spice intertwine and carry through the finish. The wood is a bit out front at times but the wine still delivers a lot of enjoyment.",89,34,Washington,Sean P. Sullivan,Full Pull & Friends 2009 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Full Pull & Friends,2009
United States of America,"Aromas of blue and purple fruit mix with notes of dried thyme and black pepper. The flavors are tart and elegant, showing a good sense of balance and restraint, with a finish that lingers.",89,30,Washington,Sean P. Sullivan,Gamache 2011 Estate Grown Malbec (Columbia Valley (WA)),Malbec,Gamache,2011
United States of America,"Half Cabernet with the rest Syrah, Cabernet Sauvignon, Merlot, Mourvèdre and Petit Verdot, this wine opens with aromas of sweet barrel spices followed by dried red and black fruit. The palate is fruit-forward and flavorful, bringing you back for another sip.",89,29,Washington,Sean P. Sullivan,Genoa 2012 Flying Colors Super Tuscan-Style Red (Columbia Valley (WA)),Red Blend,Genoa,2012
Italy,"Made with 80% Nasco and 20% Vermentino, this offers delicate aromas of marzipan, dried apricot and wildflower honey. On the sweet, full-bodied palate, notes of white almond back up acacia honey and tangerine zest.",89,45,Sicily & Sardinia,Kerin O’Keefe,Pala 2013 Assoluto White (Isola dei Nuraghi),White Blend,Pala,2013
United States of America,"Honeycomb, fig and herb aromas are followed by textured flavors that show intensity and persistence.",89,24,Washington,Sean P. Sullivan,Amavi 2014 Semillon (Walla Walla Valley (WA)),Sémillon,Amavi,2014
Italy,"This fragrant red opens with lovely scents of perfumed berry, blue flower and Oriental spice while the polished palate offers dried black cherry, blackberry, anise and clove. Fine-grained tannins give the finish grip.",89,20,Southern Italy,Kerin O’Keefe,Basilisco 2011 Teodosio  (Aglianico del Vulture),Aglianico,Basilisco,2011
United States of America,"Vanilla, thyme, dill and plum aromas are followed by plentiful fruit and barrel flavors that possess a pleasing mouthfeel. The oak is out front at times, especially on the aromas, but the wine is appealing.",89,30,Washington,Sean P. Sullivan,Bontzu 2013 Malbec (Walla Walla Valley (WA)),Malbec,Bontzu,2013
United States of America,"A mountaintop vineyard in a cool year delivers the expected lighter elegance, offering a complicated and fascinating array of aromas, from incense and white pepper to patchouli and potpourri. The palate starts with sour cherries before the herbal lift of fennel and dill arrives, proving a light, curious and tasty wine.",89,32,California,Matt Kettmann,Burrell School Vineyards 2011 Honor Roll Estate Reserve Merlot (Santa Cruz Mountains),Merlot,Burrell School Vineyards,2011
United States of America,"Merlot (55%) and Cabernet Sauvignon (40%) make up the majority of this wine with the balance Malbec. Vanilla, barrel spice and dark-fruit aromas are followed by saturated black-fruit flavors that linger. The oak gets a bit out-front but the wine still has much to offer.",89,35,Washington,Sean P. Sullivan,Stottle 2012 Big Eddie Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Stottle,2012
United States of America,"Blue-fruit aromas intermingle with vanilla and other barrel spices. The coffee and plum flavors are full and supple in feel, followed by a tart finish. The wood seems a bit primary but the fruit and feel is still hard to ignore.",89,33,Washington,Sean P. Sullivan,Stottle 2012 Elerding 6 Prong Malbec (Horse Heaven Hills),Malbec,Stottle,2012
United States of America,"Bright aromas of freshly roasted coffee beans, brown stems, dried herbs, purple flowers, mineral and black pepper are followed by ethereally light fruit and savory flavors that focus on elegance. This wine provides plenty of interest but the finish seems a bit clipped. It might lengthen out with aging.",89,45,Washington,Sean P. Sullivan,àMaurice 2013 Fred Estate Syrah (Walla Walla Valley (WA)),Syrah,àMaurice,2013
United States of America,"Coming from one of the state's premier Syrah vineyards, this warm-vintage wine seems aromatically quiet, with light aromas of funk, earth, red berries and coffee. Flavors are generous and ripe, with the alcohol occasionally poking out.",89,45,Washington,Sean P. Sullivan,àMaurice 2014 Boushey Vineyard Syrah (Yakima Valley),Syrah,àMaurice,2014
United States of America,"The aromas of flowers, mineral, peach and almond are initially light but pleasing. The stone-fruit flavors are full bodied and sweet, pulling up ever so slightly on the finish.",89,35,Washington,Sean P. Sullivan,àMaurice 2014 Boushey Vineyard Marsanne-Viognier (Yakima Valley),Marsanne-Viognier,àMaurice,2014
United States of America,"Les Collines and Stone Valley fruit make up 75% of this wine with the rest coming from Seven Hills, Pepper Bridge and Summit View. It offers generous aromas of blueberry puree, dried herbs, red fruit, woodspice, dried flowers and mineral. The flavors bring the same but are more pulled-back than the aromas suggest, with a bit of astringency that holds the wine back.",89,32,Washington,Sean P. Sullivan,Amavi 2013 Syrah (Walla Walla Valley (WA)),Syrah,Amavi,2013
United States of America,"Specks of rosemary give the aromatic entry of this wine a nice herbal invitation. This subtlety is followed by more bombastic waves of big, juicy black cherry, berry and oak. The tannins are still substantial, suggesting cellaring, through 2021.",89,45,California,Virginie Boone,Charthia 2013 Pinot Noir (Carneros),Pinot Noir,Charthia,2013
France,"The gravel soil on this Lévèque family property makes a great place to grow white grapes. A 50/50 blend of Sauvignon Blanc and Sémillon, this fresh wine suggests the ability to age. It is fruity now, hinting at apricots as well as citrus. It can be drunk now for its freshness, although wait until late 2016 for it to develop greater depths.",89,20,Bordeaux,Roger Voss,Château de Chantegrive 2013  Graves,Bordeaux-style White Blend,Château de Chantegrive,2013
France,"Spice and ripe fruit, with attractive tannins and a soft texture. This wine is open, generous, rich and packed with black currant fruitiness. Give this wine another 2–4 years, but it could well be drinkable sooner.",90,20,Bordeaux,Roger Voss,Château Mayne Vieil 2011 Cuvée Aliénor  (Fronsac),Bordeaux-style Red Blend,Château Mayne Vieil,2011
Australia,"The most aromatically complex of the FE 2012 Rieslings, the Poison Hill offers beguiling scents of tangerine sherbet and Earl Grey tea. It's almost too perfumy for its soft, medium-bodied structure and slightly dusty-textured finish, but those floral elements are also its appeal. Drink now–2020+.",90,35,Western Australia,Joe Czerwinski,Frankland Estate 2012 Poison Hill Vineyard Riesling (Frankland River),Riesling,Frankland Estate,2012
Germany,"Exquisitely smoky and savory dried herb tones calibrate rich, tropical fruit aromas on this dry yet voluptuously textured Riesling. The palate is penetrating with minerality and a soft, elegant lemon-lime acidity. Finishes long and rich.",90,42,Pfalz,Anna Lee C. Iijima,A. Christmann 2010 Gimmeldinger Biengarten Trocken Riesling (Pfalz),Riesling,A. Christmann,2010
United States of America,"Single vineyard, 100% varietal Malbec can be spot on, and this succeeds with a balanced flavor profile of mixed berries and earthy tannins. There's a hint of volatility, that quickly blows off. Decanting for an hour or so is advised.",90,35,Washington,Paul Gregutt,àMaurice 2010 Gamache Vineyard Malbec (Columbia Valley (WA)),Malbec,àMaurice,2010
Italy,"This traditionally styled Barolo has a classic fragrance of violet, rose and leather, with balsamic notes. The palate reveals ripe berry and spice with notes of pipe tobacco and while the acidity is tame the wine is massively tannic. Hold this for a few more years, but drink it before 2020.",90,92,Piedmont,Kerin O’Keefe,Barale Fratelli 2009 Bussia  (Barolo),Nebbiolo,Barale Fratelli,2009
Italy,"This shows enticing aromas of mint, spice and balsamic herbs and delivers a restrained palate of black cherry, with undertones of sage, white pepper, coffee and espresso. This is still aggressively tannic and needs time to soften.",90,82,Piedmont,Kerin O’Keefe,Barale Fratelli 2009 Castellero  (Barolo),Nebbiolo,Barale Fratelli,2009
United States of America,"Rich cherry fruit anchors this excellent, estate-grown Merlot. It's lush and textural, with deep, dark fruit flavors and pleasant roasted notes of coffee and smoke. Half the barrels were new American oak, the rest French, mostly new.",90,25,Washington,Paul Gregutt,Gamache 2009 Merlot (Columbia Valley (WA)),Merlot,Gamache,2009
Australia,"Made in a superripe, dense, almost fudge-like style, The Ripper tastes like a plummy, chocolaty Christmas cake with slightly coarse tannins on the finish. It's Port-like in flavor, but without the heat from elevated alcohol. Drink it over the next few years.",90,20,Western Australia,Joe Czerwinski,Hope Estate 2010 The Ripper Shiraz (Geographe),Shiraz,Hope Estate,2010
Israel,"This is a balanced and complex fifty-fifty blend, with herbal accents of licorice root, coffee bean and foliage that mingle harmoniously with ripe fruit notes of blackberry, wild raspberry and cherry. Medium weight and lushly textured, but not overdone, with a long finish that delivers light hints of mocha and pepper.",90,39,Galilee,Lauren Buzzeo,Pelter 2010 Cabernet Sauvignon-Shiraz (Galilee),Cabernet Sauvignon-Shiraz,Pelter,2010
Germany,"Wet stone and earth notes add a distinct minerality to intensely fruity peach and apricot flavors on this ripe, but dainty Riesling. Zippy acidity and a flurry of fresh, green herbs make for a brisk finish.",90,29,Mosel,Anna Lee C. Iijima,Peter Nicolay 2011 Bernkasteler Badstube Spätlese Riesling (Mosel),Riesling,Peter Nicolay,2011
Australia,"An easy-drinking introduction to Shiraz from Western Australia's Great Southern region, the 2010 Omrah offers gentle cherry and cedar notes accented by hints of chocolate and roasted meat. It's medium to full bodied, with a round, supple mouthfeel that ends in a wash of softly dusty tannins.",90,20,Western Australia,Joe Czerwinski,Plantagenet 2010 Omrah Shiraz (Western Australia),Shiraz,Plantagenet,2010
Germany,"Whiffs of slate and petrol add nuance to white flower and pineapple aromas on this intensely minerally, dry Riesling. The palate is lush and full with ripe nectarine flavor, freshened with a swathe of fresh green herbs on the finish.",90,25,Rheinhessen,Anna Lee C. Iijima,Rheingraf 2011 Trocken Riesling (Rheinhessen),Riesling,Rheingraf,2011
Australia,"There's a lot to like in this effort: ample dark fruit, complex notions of tea leaves and dried grasses, and a richly textured, long finish. The wine is medium bodied and not very tannic, making it easy to sip repeatedly. Drink it over the next 8–10 years.",90,30,Western Australia,Joe Czerwinski,Robert Oatley 2009 Finisterre Cabernet Sauvignon (Margaret River),Cabernet Sauvignon,Robert Oatley,2009
United States of America,"La Clarine Farm's rosé is slightly cloudy, sourced mostly from Syrah grapes, with unusual additions of Mourvèdre, Sémillon and Viognier. Winemaker Hank Beckmeyer says the Syrah grapes barely ripen and that's why he likes them for this wine. Light at 12.8% alcohol, it's an intriguing melange of earthy dark strawberry and mint, crisp in acidity.",90,17,California,Virginie Boone,La Clarine Farm 2012 Rosé (Sierra Foothills),Rosé,La Clarine Farm,2012
Chile,"Oak, resin, vanilla and creamy aromas run side by side with cherry, cassis and berry scents on this blend of Cabernet, Carmenère, Petit Verdot and Syrah. The palate is tight, juicy and textured, with good density. Flavors of creamy oak, mocha, raspberry and plum set up a medium-length, strong finish. Drink through 2017.",90,40,Colchagua Valley,Michael Schachner,La Playa 2010 Axel Primero Red (Colchagua Valley),Red Blend,La Playa,2010
Chile,"Earthy aromas include pencil eraser, wild herbs and eucalyptus along with tea and blackberry. This is very smooth and lush in the mouth, a reflection of a warm vintage. Flavors of olive, herbs, tobacco and black fruits are textbook for the variety, while a mellow, polished finish is silky and easygoing. Drink through 2016.",90,23,Maipo Valley,Michael Schachner,Morandé 2009 Edición Limitada Carmenère (Maipo Valley),Carmenère,Morandé,2009
Chile,"This wine from the Santa Carolina family opens with ripe blackberry, prune and minerally aromas. It's rubbery and deep on the palate, with dark, toasty flavors of blackberry and bitter chocolate. A lightly herbal and spicy tasting finish with medium intensity fades away with lactic creaminess.",90,21,Maipo Valley,Michael Schachner,Ochagavia 2010 Raices Nobles Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Ochagavia,2010
United States of America,"Though labeled simply Columbia Valley, this is a classic example of Wahluke Slope Syrah. Well-integrated layers of citrus, berry, roasted coffee beans, vanilla cookie and Graham cracker combine into a most accessible, yet complex wine. It's ready to drink, and should be consumed over the next 3–4 years.",90,17,Washington,Paul Gregutt,Barnard Griffin 2011 Syrah (Columbia Valley (WA)),Syrah,Barnard Griffin,2011
United States of America,"Thick, heavy, potent and mouth-coating, this is a liquorous, almost syrupy wine, sure to please those who like big fruit, big tannins, and big barrel flavors. Chocolate, espresso, tar and bourbon barrel flavors dominate, in keeping with the house style.",90,28,Washington,Paul Gregutt,Barrister 2009 Bacchus Vineyard Syrah (Columbia Valley (WA)),Syrah,Barrister,2009
Australia,"This is a solid value in the world of Cabernet. Textbook notes of cassis and mint lead the way, framed by supple tannins and dressed up with hints of graham crackers and black tea. This is medium to full in weight, with a mouthwatering, velvety finish that belies its price point. Drink now–2020+.",90,21,Western Australia,Joe Czerwinski,West Cape Howe 2009 Book Ends Cabernet Sauvignon (Western Australia),Cabernet Sauvignon,West Cape Howe,2009
